,Random Forest,Gradient Boosting,Logistic Regression,Decision Tree,SVM,Mean,Std,Score,Model_Count
Ureaplasma urealyticum gyrB conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Salmonella enterica ramR mutants,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Streptococcus pneumoniae PBP2b conferring resistance to amoxicillin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Salmonella enterica gyrA with mutation conferring resistance to triclosan,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Klebsiella mutant PhoP conferring antibiotic resistance to colistin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Salmonella enterica soxR with mutation conferring antibiotic resistance,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Escherichia coli folP with mutation conferring resistance to sulfonamides,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Cutibacterium acnes gyrA conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Escherichia coli rpoB mutants conferring resistance to rifampicin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Escherichia coli parC conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Enterococcus faecalis liaR mutant conferring daptomycin resistance,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Helicobacter pylori gyrB conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Shigella flexneri parC conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Mycobacterium avium gyrA with mutation conferring resistance to fluoroquinolone,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Staphylococcus aureus gyrB conferring resistance to aminocoumarin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Escherichia coli gyrA with mutation conferring resistance to triclosan,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Neisseria gonorrhoeae gyrB conferring resistance to zoliflodacin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Neisseria gonorrhoeae porin PIB (por),0.0,0.0,,0.0,,0.0,0.0,0.0,0
Klebsiella pneumoniae mutant PhoQ conferring resistance to colistin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Streptococcus pneumoniae PBP1a conferring resistance to amoxicillin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Neisseria gonorrhoeae gyrA with mutations conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Salmonella serovars parE conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Staphylococcus aureus parC conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Staphylococcus aureus walK with mutation conferring resistance to daptomycin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Klebsiella pneumoniae ramR mutants,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Haemophilus parainfluenzae parC conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Escherichia coli ompF with mutation conferring resistance to beta-lactam antibiotics,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Mycoplasma hominis parC conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Staphylococcus aureus rpoB mutants conferring resistance to daptomycin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Bacillus subtilis rpoB mutants conferring resistance to rifampin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Streptococcus pneumoniae parC conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolones,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Escherichia coli cyaA with mutation conferring resistance to fosfomycin,0.0,0.0,,0.0,,0.0,0.0,0.0,0
Enterococcus faecalis YybT with mutation conferring daptomycin resistance,0.0,0.0,,0.0,,0.0,0.0,0.0,0
